Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
39,Dwight Evans,36,BOS,AL,3.2,149,645,559,96,164,31,7,21,111,5,1,76,99,0.293,0.375,0.487,0.861,136,0.389,137,272,16,1,2,7,3,93/DH8,MVP-9,evansdw01
40,Kevin Seitzer,26,KCR,AL,4.3,149,643,559,90,170,32,5,5,60,10,8,72,64,0.304,0.388,0.406,0.794,122,0.369,128,227,15,6,3,3,4,*5/7DH,,seitzke01
41,Andre Dawson,33,CHC,NL,4.9,157,640,591,78,179,31,8,24,79,12,4,37,73,0.303,0.344,0.504,0.849,137,0.391,145,298,13,4,1,7,12,*9H,ASMVP-15GG,dawsoan01
42,Darryl Strawberry*,26,NYM,NL,5.4,153,640,543,101,146,27,3,39,101,29,14,85,127,0.269,0.366,0.545,0.911,165,0.401,164,296,6,3,0,9,21,*9/H,ASMVP-2SS,strawda01
43,Tim Wallach,30,MON,NL,2.7,159,640,592,52,152,32,5,12,69,2,6,38,88,0.257,0.302,0.389,0.69,94,0.309,88,230,19,3,0,7,7,*5/H4,GG,wallati01
44,Mark McGwire,24,OAK,AL,2.7,155,635,550,87,143,22,1,32,99,0,0,76,117,0.26,0.352,0.478,0.83,134,0.37,131,263,15,4,1,4,4,*3/H9,ASMVP-19,mcgwima01
45,Glenn Davis,27,HOU,NL,4.3,152,634,561,78,152,26,0,30,99,4,3,53,77,0.271,0.341,0.478,0.818,138,0.366,138,268,11,11,0,9,20,*3/H,MVP-8,davisgl01
46,Dan Gladden,30,MIN,AL,3.5,141,633,576,91,155,32,6,11,62,28,8,46,74,0.269,0.325,0.403,0.728,102,0.341,102,232,9,4,2,5,4,*7/H145,,gladdda01
47,Kirk Gibson*,31,LAD,NL,6.5,150,632,542,106,157,28,1,25,76,31,4,73,120,0.29,0.377,0.483,0.86,148,0.398,151,262,8,7,3,7,14,*7/H8,MVP-1SS,gibsoki01
48,Dave Winfield,36,NYY,AL,5.4,149,631,559,96,180,37,2,25,107,9,4,69,88,0.322,0.398,0.53,0.927,159,0.417,163,296,19,2,0,1,10,*9/DH,ASMVP-4,winfida01
49,Rafael Palmeiro*,23,CHC,NL,2.3,152,629,580,75,178,41,5,8,53,12,2,38,34,0.307,0.349,0.436,0.785,121,0.361,121,253,11,3,2,6,6,*7/3H98,AS,palmera01
50,Hubie Brooks,31,MON,NL,2.6,151,628,588,61,164,35,2,20,90,7,3,35,108,0.279,0.318,0.447,0.766,115,0.352,117,263,21,1,0,4,3,*9/H,,brookhu01
51,Pete O'Brien*,30,TEX,AL,3.1,156,628,547,57,149,24,1,16,71,1,4,72,73,0.272,0.352,0.408,0.76,111,0.34,107,223,12,0,1,8,9,*3/HD,,o'bripe03
52,Willie Wilson#,32,KCR,AL,0.3,147,628,591,81,155,17,11,1,37,35,7,22,106,0.262,0.289,0.333,0.622,74,0.295,67,197,5,2,8,5,1,*8/H,,wilsowi02
53,Andrés Thomas,24,ATL,NL,-1.7,153,627,606,54,153,22,2,13,68,7,3,14,95,0.252,0.268,0.36,0.628,76,0.285,67,218,17,1,0,6,6,*6/H,,thomaan01
54,Kelly Gruber,26,TOR,AL,5.2,158,623,569,75,158,33,5,16,81,23,5,38,92,0.278,0.328,0.438,0.766,113,0.355,114,249,20,7,5,4,1,*5/4H86D,,grubeke01
55,Fred McGriff*,24,TOR,AL,6.2,154,623,536,100,151,35,4,34,82,6,1,79,149,0.282,0.376,0.552,0.928,157,0.41,156,296,15,4,0,4,3,*3/H,MVP-17,mcgrifr01
56,Vance Law,31,CHC,NL,2.2,151,621,556,73,163,29,2,11,78,1,4,55,79,0.293,0.358,0.412,0.77,117,0.364,128,229,15,3,4,3,4,*5/7H,AS,lawva01
57,Ron Gant,23,ATL,NL,2.1,146,618,563,85,146,28,8,19,60,19,10,46,118,0.259,0.317,0.439,0.755,112,0.347,114,247,7,3,2,4,4,*45/H,ROY-4,gantro01
58,Jack Clark,32,NYY,AL,2.8,150,616,496,81,120,14,0,27,93,3,2,113,141,0.242,0.381,0.433,0.815,130,0.376,134,215,14,2,0,5,6,*D9H3/7,,clarkja01
59,Ellis Burks,23,BOS,AL,5.3,144,615,540,93,159,37,5,18,92,25,9,62,89,0.294,0.367,0.481,0.848,132,0.391,137,260,8,3,4,6,1,*8/HD,,burksel01
60,Barry Bonds*,23,PIT,NL,6.3,144,614,538,97,152,30,5,24,58,17,11,72,82,0.283,0.368,0.491,0.859,148,0.387,152,264,3,2,0,2,14,*7H/8,,bondsba01
61,Mickey Brantley,27,SEA,AL,0.8,149,614,577,76,152,25,4,15,56,18,7,26,64,0.263,0.296,0.399,0.694,90,0.32,87,230,12,2,5,4,0,*78/9HD,,brantmi01
62,Roberto Alomar#,20,SDP,NL,4.4,143,611,545,84,145,24,6,9,41,24,6,47,83,0.266,0.328,0.382,0.709,105,0.338,108,208,15,3,16,0,5,*4/H,ROY-5,alomaro01
63,Scott Fletcher,29,TEX,AL,4.1,140,609,515,59,142,19,4,0,47,8,5,62,34,0.276,0.364,0.328,0.692,94,0.334,101,169,13,12,15,5,1,*6/H,,fletcsc01
64,Carney Lansford,31,OAK,AL,3,150,607,556,80,155,20,2,7,57,29,8,35,35,0.279,0.327,0.36,0.687,95,0.331,100,200,17,7,5,4,4,*5/3H4D,AS,lansfca01
65,Ozzie Guillén*,24,CHW,AL,3.4,156,606,566,58,148,16,7,0,39,25,13,25,40,0.261,0.294,0.314,0.608,71,0.288,69,178,14,2,10,3,3,*6,AS,guilloz01
66,Brook Jacoby,28,CLE,AL,0.5,152,606,552,59,133,25,0,9,49,2,3,48,101,0.241,0.3,0.335,0.635,77,0.295,74,185,12,1,0,5,2,*5/H,,jacobbr01
67,Chris James,25,PHI,NL,0.7,150,605,566,57,137,24,1,19,66,7,4,31,73,0.242,0.283,0.389,0.671,91,0.313,91,220,15,3,0,5,2,*958/7H,,jamesch02
68,Willie McGee#,29,STL,NL,2.8,137,600,562,73,164,24,6,3,50,41,6,32,84,0.292,0.329,0.372,0.701,101,0.351,110,209,10,1,2,3,5,*8/H,AS,mcgeewi01
69,Kevin McReynolds,28,NYM,NL,4.5,147,600,552,82,159,30,2,27,99,21,0,38,56,0.288,0.336,0.496,0.832,142,0.392,150,274,6,4,1,5,3,*7/H8,MVP-3,mcreyke01
70,Shawon Dunston,25,CHC,NL,1.1,155,599,575,69,143,23,6,9,56,30,9,16,108,0.249,0.271,0.357,0.627,76,0.298,71,205,6,2,4,2,8,*6/H,AS,dunstsh01
71,Rafael Ramírez,30,HOU,NL,1.5,155,597,566,51,156,30,5,6,59,3,2,18,61,0.276,0.298,0.378,0.677,97,0.319,101,214,16,3,4,6,6,*6/H,,ramirra01
72,Mitch Webster#,29,2TM,NL,2.3,151,597,523,69,136,16,8,6,39,22,14,55,87,0.26,0.337,0.356,0.693,96,0.334,105,186,5,8,5,4,2,*897H,,webstmi01
73,Jim Gantner*,35,MIL,AL,2.3,155,596,539,67,149,28,2,0,47,20,8,34,50,0.276,0.322,0.336,0.658,84,0.315,86,181,9,3,18,2,1,*4/H5,,gantnji01
74,Kevin Bass#,29,HOU,NL,2.2,157,595,541,57,138,27,2,14,72,31,6,42,65,0.255,0.314,0.39,0.704,105,0.34,110,211,16,6,3,3,10,*9H,,basske01
75,Gerald Perry*,27,ATL,NL,0.2,141,595,547,61,164,29,1,8,74,29,14,36,49,0.3,0.338,0.4,0.739,109,0.337,106,219,18,1,1,10,9,*3,AS,perryge01
76,Howard Johnson#,27,NYM,NL,3.6,148,594,495,85,114,21,1,24,68,23,7,86,104,0.23,0.343,0.422,0.765,124,0.35,122,209,6,3,2,8,25,*56/H,,johnsho01
77,Gene Larkin#,25,MIN,AL,1.9,149,594,505,56,135,30,2,8,70,3,2,68,55,0.267,0.368,0.382,0.75,109,0.347,110,193,12,15,1,5,8,D3/H,,larkige01
78,Danny Tartabull,25,KCR,AL,3.3,146,593,507,80,139,38,3,26,102,8,5,76,119,0.274,0.369,0.515,0.884,145,0.4,150,261,10,4,0,6,4,*9D/H,,tartada01
79,Jim Presley,26,SEA,AL,-0.8,150,592,544,50,125,26,0,14,62,3,5,36,114,0.23,0.28,0.355,0.635,74,0.295,73,193,14,4,3,5,1,*5/D,,preslji01
80,Billy Hatcher,27,HOU,NL,0.9,145,591,530,79,142,25,4,7,52,32,13,37,56,0.268,0.321,0.37,0.691,102,0.324,102,196,6,8,8,8,4,*78/H,,hatchbi01
81,Brian Downing,37,CAL,AL,3,135,590,484,80,117,18,2,25,64,3,4,81,63,0.242,0.362,0.442,0.805,128,0.369,132,214,12,14,5,6,5,*D/H,,downibr01
82,Kal Daniels*,24,CIN,NL,5.6,140,589,495,95,144,29,1,18,64,27,6,87,94,0.291,0.397,0.463,0.86,143,0.405,153,229,11,3,0,4,10,*7/H,,danieka01
83,Dick Schofield,25,CAL,AL,3.7,155,589,527,61,126,11,6,6,34,20,5,40,57,0.239,0.303,0.317,0.62,77,0.313,87,167,5,9,11,2,0,*6,,schofdi02
84,Kent Hrbek*,28,MIN,AL,4.5,143,586,510,75,159,31,0,25,76,0,3,67,54,0.312,0.387,0.52,0.907,150,0.405,153,265,9,0,2,7,7,3D/H,,hrbekke01
85,Alvin Davis*,27,SEA,AL,3.3,140,582,478,67,141,24,1,18,69,1,1,95,53,0.295,0.412,0.462,0.875,141,0.394,142,221,14,4,0,5,13,*3D/H,,davisal01
86,Chet Lemon,33,DET,AL,2.6,144,582,512,67,135,29,4,17,64,1,2,59,65,0.264,0.346,0.436,0.782,122,0.355,123,223,18,7,1,3,6,*9/H,,lemonch01
87,Chris Sabo,26,CIN,NL,5.1,137,582,538,74,146,40,2,11,44,46,14,29,52,0.271,0.314,0.414,0.728,105,0.352,111,223,12,6,5,4,1,*5/H6,ASROY-1,saboch01
88,Steve Buechele,26,TEX,AL,4.3,155,579,503,68,126,21,4,16,58,2,4,65,79,0.25,0.342,0.404,0.746,107,0.35,114,203,8,5,6,0,6,*5/H4,,buechst01
89,Tony Gwynn*,28,SDP,NL,3.4,133,578,521,64,163,22,5,7,70,26,11,51,40,0.313,0.373,0.415,0.787,128,0.367,132,216,11,0,4,2,13,*98,MVP-11,gwynnto01
90,Mike Marshall,28,LAD,NL,2.4,144,577,542,63,150,27,2,20,82,4,1,24,93,0.277,0.314,0.445,0.758,118,0.351,122,241,17,7,0,4,7,93/H,,marshmi02
91,Frank White,37,KCR,AL,0.5,150,575,537,48,126,25,1,8,58,7,3,21,67,0.235,0.266,0.33,0.595,66,0.284,65,177,16,4,7,6,3,*4/HD,,whitefr01
92,Dave Henderson,29,OAK,AL,6.3,146,570,507,100,154,38,1,24,94,2,4,47,92,0.304,0.363,0.525,0.887,149,0.396,152,266,14,4,5,7,1,*8H/7,MVP-13,hendeda01
93,Jeffrey Leonard,32,2TM,2LG,-1.4,138,569,534,57,129,27,1,10,64,17,9,25,92,0.242,0.276,0.352,0.628,77,0.295,76,188,15,3,1,6,2,*7/HD,,leonaje01
94,Kevin Mitchell,26,SFG,NL,2.6,148,566,505,60,127,25,7,19,80,5,5,48,85,0.251,0.319,0.442,0.76,121,0.347,123,223,9,5,1,7,7,57H,,mitchke01
95,Willie Upshaw*,31,CLE,AL,0.4,149,564,493,58,121,22,3,11,50,12,9,62,66,0.245,0.33,0.369,0.699,95,0.324,95,182,10,2,3,4,4,*3/H,,upshawi01
96,Keith Moreland,34,SDP,NL,-1.2,143,562,511,40,131,23,0,5,64,2,3,40,51,0.256,0.305,0.331,0.636,84,0.295,81,169,17,0,2,9,6,37/H5,,morelke01
97,Billy Ripken,23,BAL,AL,-1.6,150,559,512,52,106,18,1,2,34,8,2,33,63,0.207,0.26,0.258,0.518,48,0.255,47,132,14,5,6,3,0,*4/5DH,,ripkebi01
98,Jack Howell*,26,CAL,AL,1,154,558,500,59,127,32,2,16,63,2,6,46,130,0.254,0.323,0.422,0.745,110,0.329,105,211,8,6,4,2,8,*5/H78,,howelja02
99,Cory Snyder,25,CLE,AL,2.7,142,558,511,71,139,24,3,26,75,5,1,42,101,0.272,0.326,0.483,0.81,122,0.367,123,247,12,1,0,4,7,*9/8H7D,,snydeco02
100,Rob Deer,27,MIL,AL,2.5,135,556,492,71,124,24,0,23,85,9,5,51,153,0.252,0.328,0.441,0.769,113,0.345,110,217,4,7,0,5,4,*97/8DH,,deerro01
101,Mel Hall*,27,CLE,AL,-0.2,150,553,515,69,144,32,4,6,71,7,3,28,50,0.28,0.312,0.392,0.704,95,0.319,89,202,8,0,2,8,12,*7H/8D9,,hallme01
102,Bill Doran#,30,HOU,NL,3.4,132,552,480,66,119,18,1,7,53,17,4,65,60,0.248,0.338,0.333,0.671,98,0.319,98,160,7,1,4,2,3,*4/H,,doranbi02
103,Candy Maldonado,27,SFG,NL,-0.3,142,552,499,53,127,23,1,12,68,6,5,37,89,0.255,0.311,0.377,0.688,101,0.313,98,188,13,7,3,6,1,*9/H,,maldoca01
104,Lloyd Moseby*,28,TOR,AL,1.9,128,552,472,77,113,17,7,10,42,31,8,70,93,0.239,0.343,0.369,0.712,100,0.34,102,174,8,6,1,3,6,*87/9HD,,mosebll01
105,Mark Grace*,24,CHC,NL,1,134,550,486,65,144,23,4,7,57,3,3,60,43,0.296,0.371,0.403,0.774,119,0.356,121,196,12,0,0,4,5,*3/H,ROY-2,gracema01
106,Tony Peña,31,STL,NL,2.4,149,546,505,55,133,23,1,10,51,6,2,33,60,0.263,0.308,0.372,0.68,94,0.309,87,188,12,1,3,4,11,*2/H3,,penato01
107,John Shelby#,30,LAD,NL,2.5,140,545,494,65,130,23,6,10,64,16,5,44,128,0.263,0.32,0.395,0.715,107,0.336,109,195,13,0,1,6,5,*8,,shelbjo01
108,Eric Davis,26,CIN,NL,4.4,135,543,472,81,129,18,3,26,93,35,3,65,124,0.273,0.363,0.489,0.852,139,0.398,142,231,11,3,0,3,10,*8/9H,MVP-13GG,daviser01
109,Jim Rice,35,BOS,AL,0.5,135,542,485,57,128,18,3,15,72,1,1,48,89,0.264,0.33,0.406,0.736,102,0.341,104,197,18,3,0,6,2,*D7/H,,riceji01
110,B.J. Surhoff*,23,MIL,AL,1,139,541,493,47,121,21,0,5,38,21,6,31,49,0.245,0.292,0.318,0.611,71,0.298,71,157,12,3,11,3,9,25H/367,,surhob.01
111,Robby Thompson,26,SFG,NL,3.7,138,540,477,66,126,24,6,7,48,14,5,40,111,0.264,0.323,0.384,0.707,107,0.343,118,183,7,4,14,5,0,*4/H,AS,thompro01
112,José Uribe#,29,SFG,NL,1.3,141,535,493,47,124,10,7,3,35,14,10,36,69,0.252,0.301,0.318,0.62,82,0.281,73,157,3,0,4,2,10,*6/H,,uribejo01
113,Paul O'Neill*,25,CIN,NL,2.2,145,533,485,58,122,25,3,16,73,8,6,38,65,0.252,0.306,0.414,0.72,102,0.331,103,201,7,2,3,5,5,*93H/8,,o'neipa01
114,Rey Quiñones,24,SEA,AL,1.7,140,530,499,63,124,30,3,12,52,0,3,23,71,0.248,0.284,0.393,0.677,85,0.31,83,196,12,3,2,3,1,*6/DH,,quinore01
115,Ken Oberkfell*,32,2TM,NL,-0.1,140,529,476,49,129,22,4,3,42,4,5,37,34,0.271,0.321,0.353,0.674,92,0.308,87,168,8,2,6,8,7,*5H4/63,,oberkke01
116,Benito Santiago,23,SDP,NL,3.1,139,527,492,49,122,22,2,10,46,15,7,24,82,0.248,0.282,0.362,0.643,85,0.293,77,178,18,1,5,5,2,*2/H,GGSS,santibe01
117,Steve Lyons*,28,CHW,AL,1.4,146,526,472,59,127,28,3,5,45,1,2,32,59,0.269,0.313,0.373,0.686,92,0.322,95,176,6,1,15,6,1,*5/8H9423,,lyonsst01
118,Alan Trammell,30,DET,AL,6,128,523,466,73,145,24,1,15,69,7,4,46,46,0.311,0.373,0.464,0.836,138,0.383,143,216,14,4,0,7,8,*6/H,ASMVP-7SS,trammal01
119,Sid Bream*,27,PIT,NL,2.1,148,522,462,50,122,37,0,10,65,9,9,47,64,0.264,0.328,0.409,0.737,113,0.327,108,189,11,1,4,8,6,*3H,,breamsi01
120,Darrell Evans*,41,DET,AL,0.9,144,522,437,48,91,9,0,22,64,1,4,84,89,0.208,0.337,0.38,0.717,105,0.333,109,166,14,1,0,0,4,D3H,,evansda01
121,Rafael Santana,30,NYY,AL,-0.6,148,521,480,50,115,12,1,4,38,1,2,33,61,0.24,0.289,0.294,0.583,65,0.278,64,141,17,1,5,2,0,*6,,santara01
122,Jesse Barfield,28,TOR,AL,2.9,137,520,468,62,114,21,5,18,56,7,3,41,108,0.244,0.302,0.425,0.728,102,0.327,97,199,10,1,4,6,6,*98/HD,,barfije01
123,José Oquendo#,24,STL,NL,2.4,148,518,451,36,125,10,1,7,46,4,6,52,40,0.277,0.35,0.35,0.7,102,0.326,104,158,8,0,12,3,7,4563H/98712,,oquenjo01
124,Kurt Stillwell#,23,KCR,AL,2.7,128,518,459,63,115,28,5,10,53,6,5,47,76,0.251,0.322,0.399,0.721,101,0.33,100,183,7,3,6,3,0,*6/H,AS,stillku01
125,Gary Gaetti,29,MIN,AL,4.3,133,516,468,66,141,29,2,28,88,7,4,36,85,0.301,0.353,0.551,0.905,148,0.402,149,258,10,5,1,6,5,*5H/D6,ASMVP-22GG,gaettga01
126,Gary Pettis#,30,DET,AL,2.3,129,512,458,65,96,14,4,3,36,44,10,47,85,0.21,0.285,0.277,0.562,61,0.295,70,127,3,1,6,0,0,*8/HD,GG,pettiga01
127,Walt Weiss#,24,OAK,AL,2.8,147,511,452,44,113,17,3,3,39,4,4,35,56,0.25,0.312,0.321,0.633,81,0.299,82,145,9,9,8,7,1,*6/H,ROY-1,weisswa01
128,Greg Gagne,26,MIN,AL,2.2,149,508,461,70,109,20,6,14,48,15,7,27,110,0.236,0.288,0.397,0.685,89,0.322,91,183,13,7,11,1,2,*6/8H4,,gagnegr01
129,Larry Sheets*,28,BAL,AL,-1,136,504,452,38,104,19,1,10,47,1,6,42,72,0.23,0.302,0.343,0.645,83,0.295,82,155,11,6,0,4,4,D79H/3,,sheetla01
130,Gary Carter,34,NYM,NL,0.1,130,503,455,39,110,16,2,11,46,0,2,34,52,0.242,0.301,0.358,0.659,93,0.301,90,163,8,7,1,6,1,*23/H5,AS,cartega01
131,Pat Tabler,30,2TM,AL,0.8,130,499,444,53,125,22,3,2,66,3,3,46,68,0.282,0.349,0.358,0.708,98,0.333,101,159,9,3,0,5,1,D73H/95,,tablepa01
132,Tom Brookens,34,DET,AL,1.1,136,498,441,62,107,23,5,5,38,4,4,44,74,0.243,0.313,0.351,0.664,90,0.305,87,155,9,3,6,4,2,*5/H64,,brookto01
133,Dale Sveum#,24,MIL,AL,0.2,129,495,467,41,113,14,4,9,51,1,0,21,122,0.242,0.274,0.347,0.621,73,0.287,67,162,6,1,3,3,0,*6/4DH,,sveumda01
134,Dave Martinez*,23,2TM,NL,0.8,138,494,447,51,114,13,6,6,46,23,9,38,94,0.255,0.313,0.351,0.664,88,0.309,82,157,3,2,2,5,8,*89H/7,,martida01
135,Mike Pagliarulo*,28,NYY,AL,-0.8,125,490,444,46,96,20,1,15,67,1,0,37,104,0.216,0.276,0.367,0.643,80,0.285,68,163,5,2,1,6,9,*5/H,,paglimi01
136,Luis Salazar,32,DET,AL,2.3,130,489,452,61,122,14,1,12,62,6,0,21,70,0.27,0.305,0.385,0.69,96,0.323,96,174,13,3,10,3,2,765H/4893,,salazlu01
137,Tim Raines#,28,MON,NL,3.6,109,488,429,66,116,19,7,12,48,33,7,53,44,0.27,0.35,0.431,0.782,120,0.364,118,185,8,2,0,4,14,7/H,,raineti01
138,Oddibe McDowell*,25,TEX,AL,1.4,120,487,437,55,108,19,5,6,37,33,10,41,89,0.247,0.311,0.355,0.666,85,0.311,79,155,3,2,2,5,2,*8H/D,,mcdowod01
139,Devon White#,25,CAL,AL,3.4,122,486,455,76,118,22,2,11,51,17,8,23,84,0.259,0.297,0.389,0.686,94,0.322,97,177,5,2,5,1,1,*8/H,GG,whitede03
140,Claudell Washington*,33,NYY,AL,3.2,126,485,455,62,140,22,3,11,64,15,6,24,74,0.308,0.342,0.442,0.784,120,0.355,117,201,7,2,0,4,2,*8H7/9,,washicl01
141,Lance Parrish,32,PHI,NL,1.1,123,478,424,44,91,17,2,15,60,0,0,47,93,0.215,0.293,0.37,0.663,89,0.308,87,157,11,2,0,5,7,*2/H3,AS,parrila02
142,Lou Whitaker*,31,DET,AL,3.5,115,477,403,54,111,18,2,12,55,2,0,66,61,0.275,0.376,0.419,0.795,127,0.365,128,169,8,0,6,2,5,*4H,,whitalo01
143,Dan Pasqua*,26,CHW,AL,1.9,129,475,422,48,96,16,2,20,50,1,0,46,100,0.227,0.307,0.417,0.724,101,0.333,101,176,10,3,2,2,5,*79H/3D,,pasquda01
144,Andy Allanson,26,CLE,AL,1.7,133,474,434,44,114,11,0,5,50,5,9,25,63,0.263,0.305,0.323,0.627,75,0.294,77,140,6,3,8,4,2,*2,,allanan01
145,Willie Randolph,33,NYY,AL,2.1,110,474,404,43,93,20,1,2,34,8,4,55,39,0.23,0.322,0.3,0.621,77,0.308,84,121,10,2,8,5,2,*4/H,,randowi01
146,Bo Jackson,25,KCR,AL,1.7,124,468,439,63,108,16,4,25,68,27,6,25,146,0.246,0.287,0.472,0.758,108,0.344,103,207,6,1,1,2,6,*79/8DH,,jacksbo01
147,Ernie Whitt*,36,TOR,AL,2.8,127,468,398,63,100,11,2,16,70,4,2,61,38,0.251,0.348,0.41,0.757,112,0.347,112,163,9,1,2,6,4,*2H,,whitter01
148,Pete Incaviglia,24,TEX,AL,2.5,116,467,418,59,104,19,3,22,54,6,4,39,153,0.249,0.321,0.467,0.788,117,0.351,114,195,6,7,0,3,3,7D/H,,incavpe01
149,Randy Bush*,29,MIN,AL,1.3,136,466,394,51,103,20,3,14,51,8,6,58,49,0.261,0.365,0.434,0.799,122,0.355,118,171,8,9,0,5,14,*9HD/37,,bushra01
150,Lenny Dykstra*,25,NYM,NL,3.5,126,466,429,57,116,19,3,8,33,30,8,30,43,0.27,0.321,0.385,0.706,107,0.343,114,165,3,3,2,2,2,*8H,,dykstle01
151,John Kruk*,27,SDP,NL,1.3,120,466,378,54,91,17,1,9,44,5,3,80,68,0.241,0.369,0.362,0.732,113,0.34,114,137,7,0,3,5,12,379H,,krukjo01
152,Darnell Coles,26,2TM,2LG,1.3,123,462,406,52,106,23,2,15,70,4,3,37,67,0.261,0.326,0.438,0.765,115,0.348,116,178,8,7,2,10,1,97H/D35,,colesda01
153,Mike Scioscia*,29,LAD,NL,2,130,452,408,29,105,18,0,3,35,0,3,38,31,0.257,0.318,0.324,0.642,87,0.287,77,132,14,0,3,3,12,*2H,,sciosmi01
154,Mike Schmidt,38,PHI,NL,1.9,108,451,390,52,97,21,2,12,62,3,0,49,42,0.249,0.337,0.405,0.742,112,0.341,111,158,11,6,0,6,10,5/H3,,schmimi01
155,Kevin Elster,23,NYM,NL,1.3,149,450,406,41,87,11,1,9,37,2,0,35,47,0.214,0.282,0.313,0.594,75,0.277,69,127,5,3,6,0,12,*6/H,,elsteke01
156,Nick Esasky,28,CIN,NL,1.1,122,450,391,40,95,17,2,15,62,7,2,48,104,0.243,0.327,0.412,0.738,108,0.341,108,161,6,4,0,7,4,*3H,,esaskni01
157,Steve Jeltz#,29,PHI,NL,-1,148,450,379,39,71,11,4,0,27,3,0,59,58,0.187,0.295,0.237,0.533,55,0.263,51,90,11,0,10,2,8,*6/H,,jeltzst01
158,Mike Aldrete*,27,SFG,NL,1.3,139,449,389,44,104,15,0,3,50,6,5,56,65,0.267,0.357,0.329,0.686,103,0.306,93,128,10,0,1,3,13,*79H3/8,,aldremi01
159,Dion James*,25,ATL,NL,-0.3,132,449,386,46,99,17,5,3,30,9,9,58,59,0.256,0.353,0.35,0.703,100,0.331,105,135,12,1,2,2,5,*78H/9,,jamesdi01
160,Larry Parrish,34,2TM,AL,-1.5,120,441,406,32,88,14,1,14,52,0,1,28,111,0.217,0.27,0.36,0.629,73,0.29,69,146,8,3,0,4,2,D3/H,,parrila01
161,Stan Javier#,24,OAK,AL,1,125,440,397,49,102,13,3,2,35,20,1,32,63,0.257,0.313,0.32,0.633,81,0.32,88,127,13,2,6,3,1,*789H/3D,,javiest01
162,Steve Balboni,31,2TM,AL,0.1,118,440,413,46,97,17,1,23,66,0,1,24,87,0.235,0.277,0.448,0.725,97,0.327,95,185,8,1,0,2,2,D3/H,,balbost01
163,Greg Brock*,31,MIL,AL,0.5,115,437,364,53,77,16,1,6,50,6,2,63,48,0.212,0.329,0.31,0.64,80,0.296,72,113,11,3,3,4,16,*3/HD,,brockgr01
164,Todd Benzinger#,25,BOS,AL,-0.1,120,436,405,47,103,28,1,13,70,2,3,22,80,0.254,0.293,0.425,0.718,96,0.316,87,172,8,1,6,2,4,39/H7D,,benzito01
165,Glenn Wilson,29,2TM,2LG,-1.1,115,436,410,39,105,18,1,5,32,1,1,18,70,0.256,0.286,0.341,0.628,75,0.294,73,140,17,1,3,4,1,*9/8HD,,wilsogl01
166,Fred Lynn*,36,2TM,AL,2.5,114,432,391,46,96,14,1,25,56,2,2,33,82,0.246,0.302,0.478,0.78,118,0.35,118,187,9,1,1,6,1,897/HD,,lynnfr01
167,Matt Nokes*,24,DET,AL,2.5,122,425,382,53,96,18,0,16,53,0,1,34,58,0.251,0.313,0.424,0.737,109,0.33,105,162,11,1,6,2,3,*2H/D,,nokesma01
168,Von Hayes*,29,PHI,NL,2.2,104,423,367,43,100,28,2,6,45,20,9,49,59,0.272,0.355,0.409,0.764,119,0.357,123,150,3,1,1,5,5,38/H759,,hayesvo01
169,Milt Thompson*,29,PHI,NL,1.8,122,423,378,53,109,16,2,2,33,17,9,39,59,0.288,0.354,0.357,0.711,105,0.33,104,135,8,1,2,3,6,*8H/9,,thompmi02
170,Pedro Guerrero,32,2TM,NL,1.4,103,422,364,40,104,14,2,10,65,4,1,46,59,0.286,0.367,0.418,0.785,127,0.358,126,152,5,5,0,7,9,35/7H9,,guerrpe01
171,Terry Pendleton#,27,STL,NL,2.3,110,421,391,44,99,20,2,6,53,3,3,21,51,0.253,0.293,0.361,0.653,87,0.303,85,141,9,2,4,3,4,5H,,pendlte01
172,Henry Cotto,27,SEA,AL,0.8,133,418,386,50,100,18,1,8,33,27,3,23,53,0.259,0.302,0.373,0.675,86,0.323,82,144,8,2,4,3,0,*8H/D,,cottohe01
173,Tim Laudner,30,MIN,AL,1.1,117,418,375,38,94,18,1,13,54,0,0,36,89,0.251,0.316,0.408,0.724,100,0.329,97,153,14,1,3,3,0,*2/HD3,AS,laudnti01
174,Joe Orsulak*,26,BAL,AL,0.9,125,416,379,48,109,21,3,8,27,9,8,23,30,0.288,0.331,0.422,0.753,113,0.335,109,160,7,3,8,3,2,*97H8,,orsuljo01
175,Manuel Lee#,23,TOR,AL,1.8,116,415,381,38,111,16,3,2,38,3,3,26,64,0.291,0.333,0.365,0.698,96,0.331,102,139,13,0,4,4,1,46/5HD,,leema02
176,Greg Walker*,28,CHW,AL,-0.8,99,412,377,45,93,22,1,8,42,0,1,29,77,0.247,0.304,0.374,0.678,90,0.302,80,141,7,3,1,2,3,3/H,,walkegr01
177,Tom Foley*,28,MON,NL,1.5,127,411,377,33,100,21,3,5,43,2,7,30,49,0.265,0.319,0.377,0.695,96,0.303,86,142,11,1,0,3,10,46H/5,,foleyto02
178,Dave Parker*,37,OAK,AL,0.2,101,411,377,43,97,18,1,12,55,0,1,32,70,0.257,0.314,0.406,0.72,103,0.324,99,153,3,0,0,2,2,D7/H3,,parkeda01
