Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
691,Jessie Reid*,26,SFG,NL,-0.1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-135,0,0,0,0,0,0,/H,,reidje01
692,Rick Rhoden,35,NYY,AL,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,-136,0,0,0,0,1,0,1/D,,rhoderi01
693,Dave Rucker*,30,PIT,NL,0,31,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,ruckeda01
694,Dave Smith,33,HOU,NL,-0.1,51,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-135,0,1,0,0,0,0,1,,smithda02
695,Mike Smith,27,MON,NL,0,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-145,0,0,0,0,0,0,/1,,smithmi04
696,Lary Sorensen,32,SFG,NL,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-370,0,0,0,1,0,0,1,,sorenla01
697,Bruce Sutter,35,ATL,NL,0.1,38,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,54,0.348,115,0,0,0,0,0,0,1,,suttebr01
698,Kent Tekulve,41,PHI,NL,0,70,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,tekulke01
699,Bob Tewksbury,27,CHC,NL,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-145,0,0,0,0,0,0,/1,,tewksbo01
700,Lou Thornton*,25,TOR,AL,-0.1,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,0,0,0,0,0,/7H9D,,thornlo01
701,Mark Wasinger,26,SFG,NL,-0.1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-135,0,0,0,0,0,0,/H45,,wasinma01
702,David West*,23,NYM,NL,0.2,2,2,2,1,2,1,0,0,0,0,0,0,0,1,1,1.5,2.5,627,1.107,690,3,0,0,0,0,0,/1,,westda01
703,Sandy Alomar,22,SDP,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-140,0,0,0,0,0,0,/H,,alomasa02
704,Ernie Camacho,33,HOU,NL,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,camacer01
705,Chris Chambliss*,39,NYY,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-136,0,0,0,0,0,0,/H,,chambch01
706,John Franco*,27,CIN,NL,0,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,MVP-12,francjo01
707,Rich Gossage,36,CHC,NL,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-150,0,0,0,0,0,0,1,,gossari01
708,Jim Gott,28,PIT,NL,0,67,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,gottji01
709,Brad Havens*,28,LAD,NL,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-140,0,0,0,0,0,0,/1,,havenbr01
710,Ed Jurak,30,OAK,AL,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,0,0,0,0,0,/H5D,,juraked01
711,John Mitchell,22,NYM,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-140,0,0,0,0,0,0,/1,,mitchjo02
712,Pat Pacillo,24,CIN,NL,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-140,0,0,0,0,0,0,/1,,pacilpa01
713,Jeff Parrett,26,MON,NL,0.1,61,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,,0.697,370,0,0,0,0,0,0,1,,parreje01
714,Jeff Russell,26,TEX,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,0,0,0,0,0,1/H,AS,russeje01
715,Randy St. Claire,27,2TM,NL,0,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,st.clra01
716,Frank Williams,30,CIN,NL,0,60,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-140,0,0,0,0,0,0,1,,willifr01
717,Gibson Alba*,28,STL,NL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,albagi01
718,Scott Arnold,25,STL,NL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,arnolsc01
719,Keith Atherton,29,MIN,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,atherke01
720,Salomé Barojas,31,PHI,NL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,barojsa01
721,Juan Berenguer,33,MIN,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,berenju01
722,Joe Boever,27,ATL,NL,0,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,boevejo01
723,Jeff Calhoun*,30,PHI,NL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,calhoje01
724,Chuck Cary*,28,ATL,NL,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,carych01
725,Stew Cliburn,31,CAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,clibust02
726,Keith Comstock*,32,SDP,NL,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,comstke01
727,Bill Dawley,30,PHI,NL,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,dawlebi01
728,Gary Eave,24,ATL,NL,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,eavega01
729,Chuck Finley*,25,CAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,finlech01
730,Dan Firova,31,CLE,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/2H,,firovda01
731,Willie Fraser,24,CAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,frasewi01
732,Todd Frohwirth,25,PHI,NL,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,frohwto01
733,Miguel García*,21,PIT,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,garcimi02
734,Paul Gibson,28,DET,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,gibsopa01
735,Germán González,26,MIN,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,gonzage01
736,Cecilio Guante,28,NYY,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,guantce01
737,Ron Guidry*,37,NYY,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,guidrro01
